row	A	B
116	LAVB	LAXMI VILAS BANK
117	MAHB	BANK OF MAHARASHTRA
118	MAHG	Maharashtra Gramin Bank
119	MCBL	GS Mahanagar Co-operative Bank Limited, Mumbai
120	MDCB	THE MUMBAI DISTRICT CENTRAL COOPERATIVE BANK LIMITED
121	MHCB	MIZUHO BANK LTD
122	MSBL	Mahesh Sahakari Bank Ltd Pune
123	MSCI	MAHARASHTRA STATE COOPERATIVE BANK
124	MSHQ	MASHREQBANK PSC
125	MSNU	THE MEHSANA URBAN COOPERATIVE BANK
126	MUBL	THE MUNICIPAL COOPERATIVE BANK LIMITED
127	MVCB	SIR M VISVESVARAYA CO OPERATIVE BANK LTD
128	NATA	NATIONAL AUSTRALIA BANK LIMITED
129	NBAD	FIRST ABU DHABI BANK PJSC
130	NBRD	NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT
131	NESF	NORTH EAST SMALL FINANCE BANK LIMITED
132	NGSB	NAGPUR NAGARIK SAHAKARI BANK LIMITED
133	NICB	NEW INDIA COOPERATIVE BANK LIMITED
134	NJBK	NAV JEEVAN CO OP BANK LTD
135	NKGS	NKGSB COOPERATIVE BANK LIMITED
136	NMCB	THE NASIK MERCHANTS COOPERATIVE BANK LIMITED
137	NNSB	NUTAN NAGARIK SAHAKARI BANK LIMITED
138	NOSC	THE BANK OF NOVA SCOTIA
139	NSPB	NSDL Payments Bank Limited
140	NTBL	THE NAINITAL BANK LIMITED
141	NUCB	NAGAR URBAN CO OPERATIVE BANK
142	NVNM	THE NAVNIRMAN CO-OPERATIVE BANK LIMITED
143	ORBC	ORIENTAL BANK OF COMMERCE
144	PJSB	G P PARSIK BANK
145	PKGB	PRAGATHI KRISHNA GRAMIN BANK
146	PMCB	PUNJAB AND MAHARSHTRA COOPERATIVE BANK
147	PMEC	PRIME COOPERATIVE BANK LIMITED
148	PRTH	PRATHAMA BANK
149	PSIB	PUNJAB AND SIND BANK
150	PUCB	THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR
151	PUNB	PUNJAB NATIONAL BANK
152	PYTM	PAYTM PAYMENTS BANK LTD
153	QNBA	QATAR NATIONAL BANK SAQ
154	RABO	RABOBANK INTERNATIONAL
155	RATN	RBL Bank Limited
156	RBIH	IDRBT
157	RBIS	RESERVE BANK OF INDIA , PAD
158	RBIS	RESERVE BANK OF INDIA, PAD
159	RBIS	RBI PAD, AHMEDABAD
160	RBIS	RESERVE BANK OF INDIA
161	RNSB	RAJKOT NAGRIK SAHAKARI BANK LIMITED
162	RRBP	RAJARAMBAPU SAHAKARI BANK LIMITED
163	RSBL	RAJGURUNAGAR SAHAKARI BANK LIMITED
164	RSCB	THE RAJASTHAN STATE COOPERATIVE BANK LIMITED
165	SABR	SBER BANK
166	SAHE	SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED
167	SANT	SANT SOPANKAKA SAHAKARI BANK LTD
168	SBIN	STATE BANK OF INDIA
169	SBLS	SAMARTH SAHAKARI BANK LTD
170	SCBL	STANDARD CHARTERED BANK
171	SDCB	THE SURAT DISTRICT COOPERATIVE BANK LIMITED
172	SHBK	SHINHAN BANK
173	SIBL	SOUTH INDIAN BANK
174	SIDB	SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
175	SIDC	THE SINDHUDURG DISTRICT CENTRAL COOP BANK LTD
176	SJSB	SOLAPUR JANATA SAHAKARI BANK LIMITED
177	SKSB	SHIKSHAK SAHAKARI BANK LIMITED
178	SMBC	SUMITOMO MITSUI BANKING CORPORATION
179	SMCB	SHIVALIK MERCANTILE CO OPERATIVE BANK LTD
180	SOGE	SOCIETE GENERALE
181	SPCB	THE SURATH PEOPLES COOPERATIVE BANK LIMITED
182	SRCB	SARASWAT COOPERATIVE BANK LIMITED
183	STCB	SBM BANK INDIA LIMITED
184	SUNB	SURAT NATIONAL COOPERATIVE BANK LIMITED
185	SURY	SURYODAY SMALL FINANCE BANK LIMITED
186	SUTB	SUTEX COOPERATIVE BANK LIMITED
187	SVBL	THE SEVA VIKAS COOPERATIVE BANK LIMITED
188	SVCB	THE SHAMRAO VITHAL COOPERATIVE BANK
189	SVSH	Shri Veershaiv Co Op Bank Ltd
190	SYNB	SYNDICATE BANK
191	TBSB	THE THANE BHARAT SAHAKARI BANK LIMITED
192	TDCB	THE THANE DISTRICT CENTRAL COOPERATIVE BANK LIMITED
193	TGMB	TUMKUR GRAIN MERCHANTS COOPERATIVE BANK LIMITED
194	THRS	THRISSUR DISTRICT CO-OPERATIVE BANK LTD
195	TJSB	TJSB SAHAKARI BANK LTD
196	TJSB	TJSB SAHAKARI BANK LIMITED
197	TMBL	TAMILNAD MERCANTILE BANK LIMITED
198	TNSC	THE TAMIL NADU STATE APEX COOPERATIVE BANK
199	TSAB	TELANGANA STATE COOP APEX BANK
200	TTCB	TEXTILE TRADERS CO-OPERATIVE BANK LIMITED
201	TTCB	TEXTILE TRADERS CO OPERATIVE BANK LTD
202	UBIN	UNION BANK OF INDIA
203	UCBA	UCO BANK
204	UJVN	Ujjivan Small Finance Bank Limited
205	UOVB	UNITED OVERSEAS BANK LIMITED
206	URBN	THE URBAN CO OPERATIVE BANK Ltd No ONE SEVEN FIVE EIGHT PERINTHALMANNA
207	UTBI	UNITED BANK OF INDIA
208	UTIB	AXIS BANK
209	UTKS	UTKARSH SMALL FINANCE BANK
210	VARA	THE VARACHHA COOPERATIVE BANK LIMITED
211	VASJ	VASAI JANATA SAHAKARI BANK LTD
212	VCOB	The Vijay Co Operative Bank Limited
213	VIJB	VIJAYA BANK
214	VSBL	THE VISHWESHWAR SAHAKARI BANK LIMITED
215	VVSB	VASAI VIKAS SAHAKARI BANK LIMITED
216	VVSB	VASAI VIKAS SAHAKARI BANK LTD
217	WBSC	THE WEST BENGAL STATE COOPERATIVE BANK
218	WPAC	WESTPAC BANKING CORPORATION
219	YESB	YES BANK
220	ZCBL	THE ZOROASTRIAN COOPERATIVE BANK LIMITED
221	ZSBL	ZILA SAHAKRI BANK LIMITED GHAZIABAD
222	KSBK	THE KERALA STATE CO OPERATIVE BANK LTD 
223	GIFT0BKID01	BANK OF INDIA
224	GIFT0CITI01	CITIBANK, N.A.
225	GIFT0DEUT01	DEUTSCHE BANK
226	GIFT0KKBK01	KOTAK MAHINDRA BANK LIMITED
227	GIFT0SBIN01	STATE BANK OF INDIA
228	GIFT0RATN01	RBL BANK LIMITED
229	GIFT0SCBL01	STANDARD CHARTERED BANK
230	GIFT0BARB01	BANK OF BARODA
231	GIFT0HDFC01	HDFC BANK
232	GIFT0CNRB01	CANARA BANK
233	GIFT0FDRL01	FEDERAL BANK LIMITED
234	GIFT0HSBC01	THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, HK
235	GIFT0ICIC01	ICICI BANK LIMITED
236	GIFT0IBKL01	IDBI BANK LIMITED
237	GIFT0INDB01	INDUSIND BANK LIMITED
238	GIFT0CHAS01	J.P. MORGAN CHASE BANK, N.A.
239	GIFT0BOTM01	MUFG BANK, LTD.
240	GIFT0PUNB01	PUNJAB NATIONAL BANK
241	GIFT0YESB01	YES BANK LIMITED
242	GIFT0IDIB01	INDIAN BANK
243	GIFT0IDFB01	IDFC FIRST BANK LIMITED
244	GIFT0UTIB01	AXIS BANK LIMITED
245	GIFT0SMBC01	SUMITOMO MITSUI BANKING CORPORATION
246	TBMC	The Banaskantha Mercantile Cooperative Bank Ltd
247	SGBA	Saurashtra Gramin Bank
248	BMCB	BOMBAY MERCANTILE COOPERATIVE BANK LTD
249	SAGB	Saptagiri Grameena Bank
250	AHDC	THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD
251	SBHY	STATE BANK OF HYDERABAD
252	SMNB	Smriti Nagrik Sahakari Bank Maryadit
253	GGBK	GURGAON GRAMIN BANK
254	SBMY	STATE BANK OF MYSORE
255	SBBJ	STATE BANK OF BIKANER AND JAIPUR
256	STBP	STATE BANK OF PATIALA
257	SBTR	STATE BANK OF TRAVANCORE
258	MKPB	The Malkapur Urban Co Operative Bank Ltd Malkapur
259	CRGB	CHHATTISGARH RAJYA GRAMIN BANK
260	RMGB	RAJASTHAN MARUDHARA GRAMIN BANK
261	TMSB	The Malad Sahakari Bank Ltd
262	TGRB	TELANGANA GRAMEENA BANK
263	UPCB	UTTAR PRADESH COOPERATIVE BANK LTD
264	TSSB	Satara Sahakari Bank Ltd
265	MDBK	MODEL COOPERATIVE BANK LTD
266	DCUB	Darussalam Co operative Urban Bank Ltd
267	HUSB	Hutatma Sahakari Bank Ltd
268	MCAB	The Meghalaya Co-operative Apex Bank Ltd
269	VYSA	ING VYSYA BANK LTD
270	AJAR	The Ajara Urban Co op Bank Ltd Ajara
271	UNBA	Unity Small finance Bank Limited
272	VTBJ	JSC VTB BANK
273	RDCB	Rajnandgaon District Central Co-operative Bank Ltd
274	BCHN	Bank of China Limited India Branch
275	ARBL	ARVIND SAHAKARI BANK LTD
276	PSBL	Pavana Sahakari Bank LTD
277	SKNB	Shree Kadi Nagarik Sahakari Bank Limited
278	BUCB	The Burdwan Central Co-operative Bank Ltd
279	TCBR	The Cooperative Bank Of Rajkot Limited
280	GSSB	Guardian Souharda Sahakari Bank Niyamita
281	UCLB	Urban Co operative Bank Ltd Bareilly
282	TAUB	The Akola Urban Cooperative Bank Limited
283	SDCE	THE SATARA DISTRICT CENTRAL COOPERATIVE BANK LTD
284	COAS	COASTAL LOCAL AREA BANK LTD
285	JTSC	JANATHA SEVA COOPERATIVE BANK LTD
286	ABNA	THE ROYAL BANK OF SCOTLAND NV
287	SECB	SREE CHARAN SOUHARDHA CO OPERATIVE BANK LTD
288	MSLM	The Muslim Cooperative Bank Ltd
289	VYSA	ING VYSYA BANK
290	KCBL	KAPOLE CO OP BANK
291	SBBJ	STATE BANK OF BIKANER & JAIPUR
292	SBBJ	STATE BANK OF BIKANER AND JIAPUR
293	BMBL	BHARATIYA MAHILA BANK LIMITED
294	TNCB	THE NAWANAGAR COOPERATIVE BANK LTD
295	KOLH	The Kolhapur Urban Co-op Bank Ltd
296	TPSC	THE PUNJAB STATE COOPERATIVE BANK LTD
297	MSLM	The Muslim Co-operative Bank Ltd
298	CTBA	COMMONWEALTH BANK OF AUSTRALIA
299	SUSB	Suco Souharda Sahakari Bank Ltd
300	NMGB	NORTH MALABAR GRAMIN BANK
301	OIBA	OMAN INTERNATIONAL BANK SAOG
302	UBSW	UBS AG
303	ABNA	THE ROYAL BANK OF SCOTLAND N V
304	DSIP	DEUTSCHE SECURITIES INDIA PRIVATE LIMITED
305	ADBK	THE ADARSH COOPERATIVE URBAN BANK LIMITED
306	RBIN	RESERVE BANK OF INDIA
307	RBIP	RESERVE BANK OF INDIA
308	RSSB	RAJARSHI SHAHU SAHAKARI BANK LTD  PUNE
309	UUCB	THE UDAIPUR URBAN CO OPERATIVE BANK LTD
310	PUSD	The Pusad Urban Cooperative Bank Ltd Pusad
311	KBKB	KOOKMIN BANK
312	NCUB	THE NILAMBUR CO OPERATIVE URBAN BANK LTD NILAMBUR
313	SNBK	Saraspur Nagrik Co operative Bank Ltd Saraspur
314	ORCB	THE ODISHA STATE COOPERATIVE BANK LTD
315	USCB	UTTARAKHAND STATE COOPERATIVE BANK LIMITED
316	VSBA	VIKAS SOUHARDA CO OPERATIVE BANK LIMITED
317	NHBA	NONGHYUP BANK
318	HITP	Hitachi Payment Services Pvt Ltd
