sheet,sheet_state,cell,names,formula,status,implemented_in
Income Details,visible,AO73,IncD.Deduction16ia,"IF(BacValue=1,MIN(Net_salary,75000),IF(BacValue=2,MIN(Net_salary,50000),0))",TO_IMPLEMENT,
Income Details,visible,BB73,,"IF(BacValue=1,MIN(Net_salary,75000),IF(BacValue=2,MIN(Net_salary,50000),0))",TO_IMPLEMENT,
Income Details,visible,AO76,IncD.TotalHeadSalaries,"MAX(0,(Net_salary-Deductions_16))",TO_IMPLEMENT,
Income Details,visible,AO80,IncD.AnnualValue,"MAX(IncD.GrossRentRecieved-IncD.TaxPaidLocalAuthorities,0)",TO_IMPLEMENT,
Income Details,visible,AO81,IncD.StandardDeduction,"ROUND(IF(OR(IncD.AnnualValue=0,IncD.AnnualValue<0),0,0.3*IncD.AnnualValue),0)",TO_IMPLEMENT,
Income Details,visible,AO82,IncD.InterestBorrowedCapital,"IF(AND(BacValue=1,MID(IncD.TypeOfHP,1,1)=""S""),0,IF(AND(BacValue=2,MID(IncD.TypeOfHP,1,1)=""S""),IF(TotAmt.24b>200000,200000,MIN(200000,TotAmt.24b)),IF(AND(MID(IncD.TypeOfHP,1,1)<>""S"",IncD.GrossRentRecieved=0),0,TotAmt.24b)))",TO_IMPLEMENT,
Income Details,visible,AO84,IncD.IncomeHeadHouseProperty,HP.TotalIncomeChargeableUnHP,TO_IMPLEMENT,
Income Details,visible,AO85,IncD.IncomeFromOS;IncomeFromOS;IncomeOthSrc,"MAX(0,(SUM(IncD.Div,SUM(Others.Amount_2),OSIncomeNotifiedOther89A,OSIncomeNotified89A)-IncD.LessDeduction57-OSIncreliefus89A))",TO_IMPLEMENT,
Income Details,visible,BB85,FP_Value,"COUNTIF(Others.NOI_2,""Family pension"")",TO_IMPLEMENT,
Income Details,visible,BC85,TotFamilyPension,"SUMIF(Others.NOI_2,""Family pension"",Others.Amount_2)",TO_IMPLEMENT,
Income Details,visible,BB87,Others.Amount_2_1,"IF(MID(J87,1,1)=""F"",AO87,0)",TO_IMPLEMENT,
Income Details,visible,BC87,Others.Amount_2_2,"IF(MID(J87,1,1)=""F"",1,0)",TO_IMPLEMENT,
Income Details,visible,BD87,Others.Amount_2_3;Others11,"IF(MID(J87,1,15)=""Interest from S"",AO87,0)",TO_IMPLEMENT,
Income Details,visible,BE87,Others.Amount_2_4,"IF(MID(J87,1,15)=""Interest from S"",AO87,0)",TO_IMPLEMENT,
Income Details,visible,BF87,Others.Amount_2_5,"IF(MID(J87,1,15)=""Interest from D"",AO87,0)",TO_IMPLEMENT,
Income Details,visible,G88,,G87+1,TO_IMPLEMENT,
Income Details,visible,BB88,,"IF(MID(J88,1,1)=""F"",AO88,0)",TO_IMPLEMENT,
Income Details,visible,BC88,,"IF(MID(J88,1,1)=""F"",1,0)",TO_IMPLEMENT,
Income Details,visible,BD88,,"IF(MID(J88,1,15)=""Interest from S"",AO88,0)",TO_IMPLEMENT,
Income Details,visible,BE88,,"IF(MID(J88,1,15)=""Interest from S"",AO88,0)",TO_IMPLEMENT,
Income Details,visible,BF88,,"IF(MID(J88,1,15)=""Interest from D"",AO88,0)",TO_IMPLEMENT,
Income Details,visible,G89,,G88+1,TO_IMPLEMENT,
Income Details,visible,BB89,,"IF(MID(J89,1,1)=""F"",AO89,0)",TO_IMPLEMENT,
Income Details,visible,BC89,,"IF(MID(J89,1,1)=""F"",1,0)",TO_IMPLEMENT,
Income Details,visible,BD89,,"IF(MID(J89,1,15)=""Interest from S"",AO89,0)",TO_IMPLEMENT,
Income Details,visible,BE89,,"IF(MID(J89,1,15)=""Interest from S"",AO89,0)",TO_IMPLEMENT,
Income Details,visible,BF89,,"IF(MID(J89,1,15)=""Interest from D"",AO89,0)",TO_IMPLEMENT,
Income Details,visible,G90,,G89+1,TO_IMPLEMENT,
Income Details,visible,BB90,,"IF(MID(J90,1,1)=""F"",AO90,0)",TO_IMPLEMENT,
Income Details,visible,BC90,,"IF(MID(J90,1,1)=""F"",1,0)",TO_IMPLEMENT,
Income Details,visible,BD90,,"IF(MID(J90,1,15)=""Interest from S"",AO90,0)",TO_IMPLEMENT,
Income Details,visible,BE90,,"IF(MID(J90,1,15)=""Interest from S"",AO90,0)",TO_IMPLEMENT,
Income Details,visible,BF90,,"IF(MID(J90,1,15)=""Interest from D"",AO90,0)",TO_IMPLEMENT,
Income Details,visible,AO93,OSIncomeNotified89A,OSIncomeNotified89A_AmountUS+OSIncomeNotified89A_AmountUK+OSIncomeNotified89A_AmountCan,TO_IMPLEMENT,
Income Details,visible,BB98,IncD_qOS1,IncD_q1OS1+IncD_q2OS1+IncD_q3OS1+IncD_q4OS1+IncD_q5OS1,TO_IMPLEMENT,
Income Details,visible,BB99,OSIncomeNotified89ATot,OSIncomeNotified89A-OSIncreliefus89A,TO_IMPLEMENT,
Income Details,visible,BQ104,IncD.Q1Inc,"MIN(IncD.TotalIncome,IncD_q1div+IncD_q1OS1)+MAX(0,IncD.TotalIncome-IncD.Div-IncD_qOS1)",TO_IMPLEMENT,
Income Details,visible,BQ105,IncD.Q2Inc,"MIN(IncD.TotalIncome-MAX(IncD_q1div+IncD_q1OS1-IncD.TotalChapVIADeductions,0),IncD_q2div+IncD_q2OS1)+IncD.Q1Inc",TO_IMPLEMENT,
Income Details,visible,BQ106,IncD.Q3Inc,"MIN(IncD.TotalIncome-MAX(IncD_q1div+IncD_q2div+IncD_q1OS1+IncD_q2OS1-IncD.TotalChapVIADeductions,0),IncD_q3div+IncD_q3OS1)+IncD.Q2Inc",TO_IMPLEMENT,
Income Details,visible,BQ107,IncD.Q4Inc,"MIN(IncD.TotalIncome-MAX(IncD_q1div+IncD_q2div+IncD_q3div+IncD_q1OS1+IncD_q2OS1+IncD_q3OS1-IncD.TotalChapVIADeductions,0),IncD_q4div+IncD_q4OS1)+ IncD.Q3Inc",TO_IMPLEMENT,
Income Details,visible,BQ108,IncD.Q5Inc,"MIN(IncD.TotalIncome-MAX(IncD_q1div+IncD_q2div+IncD_q3div+IncD_q4div+IncD_q1OS1+IncD_q2OS1+IncD_q3OS1+IncD_q4OS1-IncD.TotalChapVIADeductions,0),IncD_q5div+IncD_q5OS1)+ IncD.Q4Inc",TO_IMPLEMENT,
Income Details,visible,AZ110,IncD.LessDeduction57New,"IF(BacValue=1,ROUND(MIN(25000,((1/3)*TotFamilyPension)),0),IF(BacValue=2,ROUND(MIN(15000,((1/3)*TotFamilyPension)),0),0))",TO_IMPLEMENT,
Income Details,visible,BA110,,"IF(BacValue=1,ROUND(MIN(25000,((1/3)*TotFamilyPension)),0),IF(BacValue=2,ROUND(MIN(15000,((1/3)*TotFamilyPension)),0),0))",TO_IMPLEMENT,
Income Details,visible,BD110,Temp5,SUM(Others.Amount_2_2),TO_IMPLEMENT,
